critical_temp,material,alkali_metals,alkaline_earth_metals,transition_metals,posttransition_metals,lanthanoid_metals,metalloids,reactive_nonmetals,noble_gases,tc_quantile
29.0,Ba0.2La1.8Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
26.0,Ba0.1La1.9Ag0.1Cu0.9O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
19.0,Ba0.1La1.9Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
22.0,Ba0.15La1.85Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
23.0,Ba0.3La1.7Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
23.0,Ba0.5La1.5Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
11.0,Ba1La1Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
33.0,Sr0.1La1.9Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
36.0,Sr0.15La1.85Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
31.0,Sr0.2La1.8Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
33.0,Sr0.3La1.7Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
26.0,Ba0.3La1.7Hg0.3Cu0.7O4,nan,Ba,Cu,Hg,La,nan,O,nan,moderate critical temp(< 32 K)
27.0,Ba0.1La1.9Ag0.05Cu0.95O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
27.0,Ba0.1La1.9Ag0.1Cu0.9O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
26.0,Ba0.1La1.9Ag0.25Cu0.75O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
27.0,Ba0.1La1.9Ag0.5Cu0.5O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
82.0,Y1Ba1.5Ca0.5Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
30.0,Ba0.15La1.85Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
39.0,La1.85Sr0.15Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
